dialog_id,summary_piece,position_index
13594093-1,Mike brought Dora a doll which Laura no longer needs.,0
13594093-1,"The doll was made by Aitra, who passed away.",1
13594093-1,"Laura knows that Dora and Aitra were friends, and wants Dora to have the doll as a remembrance of Dora's late friend.",2
13594097-1,It costs 380 PLN for three days.,0
13594097-1,They agreed on a price of 500€.,1
13594097-1,Lawrie found buyers for Ann's old sofa.,2
13594097-1,Lawrie is going to send Ann pictures of the sofa tonight.,3
13594097-1,Ann and Helen are going to the drinks reception tonight.,4
13594098-1,"Patty suggests he probably has been drinking last night, and had his friends over.",0
13594098-1,"Lucy is looking for her dad, she is worried.",1
13594116-1,Greg and Will make comments on a photo.,0
13594116-1,Will asks if Greg and Betty will invite him to their party.,1
13594117-1,Linda bough high heels.,0
13594117-1,She got a discount.,1
13594117-1,Linda bought a new pair of high heels and got a discount.,2
13594118-1,Matt invites Agnes for a date to get to know each other better.,0
13594118-1,They are going to Georgian restaurant.,1
13594118-1,"They'll go to the Georgian restaurant in Kazimierz on Saturday at 6 pm, and he'll pick her up on the way to the place.",2
13594118-1,Matt invited Agnes for a date on Saturday evening.,3
13594125-1,Ben will share his notes with Nathaniel.,0
13594125-1,Ben and Nathaniel had a test.,1
13594125-1,"Nathaniel is sure he won't pass it, while Ben is optimistic about his result.",2
13594130-1,Andrew is angry because he wanted to take a few days off at the same time.,0
13594130-1,He has an important exam and he needs to go home.,1
13594130-1,Tom needs two days off because he's going to Manchester to see a football game.,2
13594130-1,Andrew will go next month.,3
13611408,Rachel and Matt want to get off work earlier today and visit Rachel's parents.,0
13611408,Matt is planning to give Rachel's dad his old computer.,1
13611408,Rachel feels like Italian food.,2
13611408,"They'll eat in Casa Italia, they've heard it's good.",3
13611408,Matt will make a reservation.,4
13611408,Rachel checked their menu.,5
13611421,Charlotte is arriving at 22:25.,0
13611421,"If she doesn't want to go out, all three of them will watch Netflix.",1
13611421,She is going out tonight.,2
13611421,Oscar arranged the dinner and movie evening with Charlotte's mum tomorrow.,3
13611421,Charlotte wants to take her mum by surprise by jumping out of a big box.,4
13611421,Charlotte will let Oscar know when she gets to the building.,5
13611427,She has a deadline in two days.,0
13611427,Lucy tells Ann about Adam's unpleasant behavior in the past.,1
13611427,She also warns Ann about his bad attitude.,2
13611427,"He spent time mostly partying and enjoying the weather, food and drinks.",3
13611427,Lucy will help him and look for a place to throw a party.,4
13611427," Yesterday, Ann was asked out by Adam.",5
13611427,He will pay Rs.,6
13611429,Ree enjoyed Lady Gaga's new movie.,0
13611429,Bryce doesn't fancy dramatic movies.,1
13611429,Bryce prefers car chases and gun fights.,2
13611429,Bryce is going out with Ree tonight.,3
13611452-1,Tom and Alison haven't spoken in 2 years.,0
13611452-1,Tom has just finished his MA in e-commerce for small businesses.,1
13611452-1,Alison is just starting an on-line business selling the things she's knitted.,2
13611452-1,Tom and Alison arrange a meeting on 12/20 to discuss helping Alison with her business.,3
13611452-1,Tom is going out with his girlfriend tonight.,4
13611466-1,Chris will be up there from 12/27 to 01/03 and for a week post Mardi Gras.,0
13611466-1,He usually gets a house with friends.,1
13611466-1,Chris and Ian are going to the Tropical Fruits Party for New Year's Eve.,2
13611493,A new album of Behemoth was released.,0
13611493,This album contains songs Bartzabel and Sabbath Mater.,1
13611534,Ricky will have a knee surgery next Thursday in Burlington.,0
13611534,Ricky is scared.,1
13611534,He'll meet with Lucy for lunch.,2
13611540,Carol is getting a full body massage half price for 75.,0
13611540,Liz will ask around but Carol doesn't want to know if she chose badly.,1
13611540,Liz will wait until Carol goes to find out her opinion.,2
13611542,Niall and Mike are planning a surprise party for Tom's birthday next week.,0
13611546,Patrick has a message for Rini from Rodrigues.,0
13611546,Rini got it wrong and would visit Rodrigues at his place tomorrow.,1
13611546,Rini is tired of false promises.,2
13611552,Linda forbids her daughter Sarah to stay at Dom's place for the night as Dom's parents won't be home.,0
13611575,Anna hanged the laundry.,0
13611575,Mark is going to do laundry himself.,1
13611575,"He had problems with the washer's settings, so Anna helped him.",2
13611579,Lily will live with Mia's mum till the end of January.,0
13611579,Mia will be around from 17th of October for a few days and she wants to surprise her mum.,1
13611579,Lily is going to Açores on the 19th.,2
13611579,Mia hopes to meet Lily soon.,3
13611579,Lily loves travelling alone but realizes it isn't very safe.,4
13611579,Lily is going to sleep.,5
13611585,"Greg went to Bosnia, Croatia and Montenegro last summer.",0
13611585,Agnes is planning the same trip between the end of June and beginning of July.,1
13611585,They want to see Sarajevo and Mostar there.,2
13611585,Greg recommended Agnes a place to stay in Herceg Novi.,3
13611585,"Agnes is planning to travel with her husband, two kids and a dog.",4
13611585,It's possible to take pets.,5
13611599,Kim moved to a new place.,0
13611599,Kim is supposed to get her schedule from school tomorrow.,1
13611599,April comes to help Kim organize things.,2
13611618,"Bryce saw ""Infinity Wars"" last week.",0
13611618,Cindy has shared some spoilers from the movie with Emma.,1
13611618,Emma will let Bryce know by Wednesday whether they will meet on Friday.,2
13611629,Kevin wants to improve his driving skills so he is taking lessons.,0
13611629,Henry claims Paris is expensive.,1
13611629,Henry found a room half the usual price for 400 euros but it doesn't seem to be good enough.,2
13611631,Paula's presentation is almost done and will be ready within the next 10 minutes.,0
13611631,Paula added a chart and deleted a graph - both at Michael's request.,1
13611631,He has a presentation for a client.,2
13611631,Paula and Michael will meet in the conference room.,3
13611640,Dad's 65th birthday party is next year.,0
13611640,Ann doesn't know what she should give to her dad as a birthday gift.,1
13611653,Sarah is going to the party with Clare.,0
13611653,Freda decides to wear jeans and a fancy top.,1
13611653,Freda is also attending.,2
13611653,"Freda and Sarah don't know what to wear to the party, but they both agree they like dressing up.",3
13611658-1,James had problems with washing machine.,0
13611658-1,"Sue instructed him to turn on the switch in the fuse box, but it didn't solve the problem so she called the electritian.",1
13611658-1,He called earlier to say he may be late.,2
13611658-1,They'll start at 12.,3
13611659,Tracy wants to go to her hometown on Saturday at 9.30 am.,0
13611659,Tracy has a dentist's appointment at 11.,1
13611659,Then Tracy and Joe will start preparing the party.,2
13611659,Tracy needs to go to Warsaw Sunday at 9.30 am as she has a trial in a theatre at 11 am.,3
13611660,Emma is coming tomorrow to play with Sharon's kids.,0
13611660,Emma is going out with her sister shortly.,1
13611660,"Emma made weed muffins and wants her sister, Sharon, to come over.",2
13611660,Sharon is not a fan of this.,3
13611697,Ms Vini wishes to apply for a waitress job.,0
13611697,Mr Sarkar reckons her credentials look good and offers her the job.,1
13611697,She's got the morning shift.,2
13611697,Ms Vini can start next week 7 till 12 and will be paid $5 per hour plus tips.,3
13611703,Dan's wife gave birth to a baby girl yesterday by cesarean section.,0
13611703,Dan's wife will have to rest for a week after the procedure.,1
13611703,Mary has two kids.,2
13611703,Mary will visit Dan's wife soon.,3
13611705,"Ella has a nasty stomach bug, she is in pain.",0
13611705,"Frank suggests checking it with a doctor, and recommending drinking a lot, adding some honey and dairy.",1
